e__0,e__1,e__2,e__3,e__4,e__5,e__6,e__7,e__8,e__9,e__10,e__11,e__12,e__13,e__14,e__15,e__16,e__17,e__18,e__19,e__20,e__21,e__22,e__23,e__24,e__25,e__26,e__27,e__28,e__29,hypothesis,is_attack,ts,principal_id,cloud,dataset
1.0599364,0.61700594,0.6835693,-1.3659557,1.211944,0.26125053,-0.36927715,0.14338847,-1.7762352,0.4086528,-1.0293715,-1.3526703,-1.5223591,1.1126884,-0.6292634,1.5337278,-0.5358015,-1.707358,-1.1165245,1.2358116,-0.15589818,-0.5482873,0.16001822,0.5017827,1.1173989,1.4484992,-0.35976866,-1.3260477,-0.41346517,0.26028052,BENIGN,0,2025-01-20 18:31:28+00:00,1052,CIC_NET,DEMO
2.636241,2.642849,3.9437878,3.5513477,3.632797,2.8415046,3.3695993,2.675767,4.4901986,4.635249,-2.8255734,-1.2155315,-2.6497452,-0.8606503,-1.774917,-0.6496452,-0.12185981,-0.20395738,1.0072674,0.86934435,-0.72173756,0.17682087,-0.5466801,-0.2716551,1.6734521,1.340461,-1.2995813,0.8297324,0.81139654,-1.1482633,NETWORK_INTRUSION,1,2025-01-29 05:35:43+00:00,1109,AZURE,DEMO
2.6187778,3.3379319,0.6774552,0.8824972,2.8176615,2.0714953,2.3514762,2.1405892,2.190696,0.47352788,-0.40537357,0.8471894,2.6153395,2.23485,-0.6518267,1.3142548,1.3720574,0.737809,1.9243534,0.46592277,0.56460595,-1.0196643,-0.023552151,-0.17435426,0.22530793,-0.36952692,-0.1314726,0.8260472,-0.43676424,-1.6065772,LATERAL_MOVEMENT,1,2025-01-08 08:02:38+00:00,1072,GCP,DEMO
2.3495839,1.9814541,-0.6922627,1.2897078,0.09702523,0.86348724,0.8942241,0.3655922,-0.18376566,-0.09054105,0.8150331,3.0158544,-1.537493,-3.71952,2.1801057,2.2872462,0.21994676,1.0394045,1.2996851,1.2720022,0.075955264,0.7426824,0.48224896,-1.2376624,0.86915606,0.88729084,-0.7632861,0.037937835,0.683329,-0.20931382,CREDENTIAL_MISUSE,1,2025-01-17 11:22:05+00:00,1192,CIC_NET,DEMO
1.072978,2.3638725,-0.785986,-1.3810446,0.30381858,0.7215625,-0.23086637,1.4532607,-1.3386058,0.6929186,-0.6058608,1.7193779,1.9925153,-0.7666566,-0.54955715,0.8595879,-0.38713065,-0.045411218,0.02538842,-1.9196732,-0.013837746,-0.6897278,-0.49312282,1.443632,-1.2565069,0.8132052,-0.27896294,-0.27976018,0.7903719,0.3400513,BENIGN,0,2025-01-06 22:52:53+00:00,1115,CIC_NET,DEMO
0.570613,0.96818465,-0.3313084,-0.61223674,-1.0851505,-0.82541054,2.9490945,1.2446796,-1.3510743,-1.3224579,0.48186606,0.5472648,0.54888386,-0.2549558,-0.12545426,0.32787952,0.085893005,-2.2193003,-0.22979963,-0.85140646,0.17521141,2.985259,0.36748168,-0.3135297,0.9218015,0.4826879,0.4200945,0.60685056,2.0565436,-1.1308885,BENIGN,0,2025-01-23 13:50:51+00:00,1085,GCP,DEMO
0.47363207,-0.9263811,0.55551267,-0.9186865,-0.4173668,-0.2950899,0.9758167,0.91845447,-1.2457174,0.05493411,-0.7095798,-1.2585049,-0.21701705,-0.3084828,2.4267166,0.43295982,-1.3776175,-0.564774,1.0213833,2.0884428,-1.5859833,-1.8799244,1.8709651,0.38961416,-0.86829275,0.5346291,-2.6357477,0.0033755065,0.32782117,0.92427015,BENIGN,0,2025-01-20 22:11:41+00:00,1084,AZURE,DEMO
1.986104,3.0856872,2.0745754,3.2553837,2.1046536,2.5918992,2.0041847,3.6511362,3.8584511,2.7653794,-0.87392104,2.3813503,1.0933673,0.6234648,4.8426647,-0.31196702,2.2641773,1.7968588,1.0806364,2.5586205,0.37210548,0.3891592,-0.053120654,1.2235689,1.0964693,-0.6256773,-1.3192472,-0.20298064,-0.8000386,-0.063524574,DEFENSE_EVASION,1,2025-01-12 01:35:53+00:00,1145,GCP,DEMO
1.8374381,0.14269835,0.5571766,0.65802276,1.4484309,-1.6468893,-0.0067002946,0.8112837,1.800079,0.10809755,-3.6758292,-1.1162624,0.20026408,-0.7195616,-1.5852125,0.61547464,0.19525534,-1.4055661,1.6970662,2.074875,0.651522,-1.1376857,-0.20149153,-0.0065213153,0.5987944,0.6683405,-0.7341738,0.081995554,0.4572804,1.4558223,CREDENTIAL_MISUSE,1,2025-01-28 16:54:36+00:00,1154,CIC_NET,DEMO
1.9045066,1.9890567,1.2838266,2.610459,1.6097628,0.3389121,2.60337,1.8979033,0.756956,0.720507,3.2530963,-0.6222299,-0.9795844,-0.96584296,0.9872503,1.8715432,0.9906356,1.7413106,-0.2325239,1.197927,1.8093064,-0.21804589,-0.84763396,-0.6520889,-1.089633,-0.7847619,-0.3705081,-1.405567,0.015618334,0.9022772,PRIV_ESC,1,2025-01-15 14:13:13+00:00,1115,CIC_NET,DEMO
-0.9077562,1.5192839,0.5107921,1.0305806,-0.65783453,0.8545252,-1.0919338,0.8902475,0.17183934,0.5532512,-1.1755946,-0.89506984,0.5972282,-0.948348,0.4632063,-1.3671378,0.8481742,-1.2325233,0.5522999,0.6256309,-0.6967718,0.58202654,0.26044226,-0.53884184,-1.0085547,-1.9626257,0.34965006,-1.5648028,0.0953442,-0.2634482,BENIGN,0,2025-01-29 11:04:47+00:00,1107,CIC_NET,DEMO
4.279143,3.2979546,3.2705522,4.3318706,3.935058,3.916156,4.0692677,2.0644279,4.3567886,4.2124686,0.9299813,1.2178307,-2.0467155,1.418369,2.4390285,2.2313669,1.8817667,-0.5122192,1.42207,2.1289334,0.3868085,1.0909804,2.0122705,1.0237095,0.2493086,1.0450885,0.14488783,0.023903044,-0.35141423,1.5634134,NETWORK_INTRUSION,1,2025-01-06 23:13:51+00:00,1144,AZURE,DEMO
1.5815713,3.9323678,2.8998642,1.0006938,2.7676494,0.2999735,3.025508,3.2852316,1.807644,2.5235476,0.37580562,-0.1581,-1.3843935,1.8716363,3.3379292,0.8036957,1.811463,2.141476,0.057515766,0.31469417,1.2308745,1.6850142,0.5628809,-0.8798143,1.9870611,-0.5309709,-0.33513778,0.34233785,1.5541605,0.85397595,DATA_EXFILTRATION,1,2025-01-09 04:12:40+00:00,1126,GCP,DEMO
0.4148655,0.46328852,0.04351467,0.5581395,-2.52956,-0.29660746,0.24132194,-1.1510141,0.3863233,-0.20447122,1.7554756,1.5730197,-0.46580556,-0.1508377,-0.073947564,-0.45165947,0.19502498,-0.75828207,-1.1306154,0.62271124,0.6295296,-0.80431575,0.8953554,-0.63157773,0.25316525,0.82034403,-0.033612564,0.4547409,-0.51642966,-0.19646658,BENIGN,0,2025-01-02 06:45:47+00:00,1119,CIC_NET,DEMO
-0.20585944,-0.74657834,-0.17677416,-1.5486183,-0.49115375,-0.28487548,-0.25617975,-0.24149744,-0.0617642,0.47944152,0.8745171,-0.64976525,-1.2032008,-1.0420444,-0.4872029,-0.35192132,-0.76999605,-1.2961167,-0.45612082,0.18142661,0.5950295,-0.55742306,-0.4129978,-0.9266983,-0.03143917,-0.8484286,0.5731278,-1.7858665,-0.35962966,0.30110735,BENIGN,0,2025-01-24 15:50:35+00:00,1137,AZURE,DEMO
0.18383452,2.6930337,0.34980002,-1.0040545,-0.095464244,-1.7762463,-0.08059975,-0.83305603,0.91539025,-0.5495403,-0.11676592,-0.63555783,1.7388513,-0.32124278,1.8325571,0.81415176,0.48206672,0.36873314,0.3937973,-1.9276726,-0.2788834,0.845158,-0.048897184,-1.4051899,-0.052404452,1.7041055,1.2468917,-0.06200401,0.9514493,-0.36650702,BENIGN,0,2025-01-16 07:12:15+00:00,1054,CIC_NET,DEMO
-1.7038716,-0.924466,1.5628887,-0.27399307,-0.24338397,-0.2998382,1.9041365,1.6259589,2.2187803,-0.1590452,0.2956245,-1.5166426,1.4769344,-1.1677796,0.21677557,-1.0973026,-0.58886683,-0.83726245,-0.6078753,-0.5391227,-0.5482688,0.8333339,-1.1048628,0.22054143,1.2179592,-0.51319635,-0.7179189,-0.23052463,1.1797252,0.19410764,BENIGN,0,2025-01-21 11:39:55+00:00,1089,GCP,DEMO
-0.5312143,0.48387665,-1.1022922,0.6813595,0.4086073,-0.30780846,-0.8385858,-0.8866809,0.53481734,1.2289805,-0.63730776,0.4583867,-2.087027,-0.58461773,-0.031058934,-0.9096834,-0.9365064,-0.66777956,0.29219273,-0.18732902,-2.2382312,-2.1207001,-0.60686517,0.45768657,-2.747505,-0.49973017,-0.52624786,1.3883377,-0.3850218,0.382989,BENIGN,0,2025-01-18 21:29:36+00:00,1067,CIC_NET,DEMO
0.14125714,-2.1305666,0.7682072,0.21539651,0.50826865,3.9262378,-2.084113,1.7246966,-0.2874475,0.2873289,-0.045512244,-0.42423633,-0.5698329,0.32950872,-1.5171736,0.7505792,-0.4161944,-1.1300694,-0.45001286,1.2571492,-0.53533506,0.35845363,-0.73095626,0.7579219,0.6855077,1.8486089,-0.17556395,0.6686548,0.09806754,1.2958717,BENIGN,0,2025-01-24 08:42:58+00:00,1010,AZURE,DEMO
-0.7188324,0.7450053,-0.19469729,-0.064188175,0.091752484,0.2522404,-0.11622904,0.21471319,1.5781181,0.9854497,0.8691546,-0.45553952,-0.8892408,0.95530057,0.8760468,1.4726707,-0.6039806,-0.22954865,-1.6394842,-0.3924711,0.9965705,-0.46649536,0.6404798,-0.1905031,0.32405704,-1.1476914,0.08520945,-2.991136,-0.18689616,-1.6304733,BENIGN,0,2025-01-29 09:35:01+00:00,1059,CIC_NET,DEMO
1.8059945,1.3774073,1.066671,2.1210063,-0.34891653,2.3473632,1.5321915,0.36344472,1.7356201,-0.50629354,-2.0575788,-0.5605937,-1.2486299,-0.8709308,-0.27627262,0.5411456,1.1525049,0.22964863,-1.0206033,1.0700574,-1.9122549,-0.06863405,-1.368315,1.987276,0.9113627,0.105753794,1.2637067,-0.846316,0.5434794,0.19981043,CREDENTIAL_MISUSE,1,2025-01-20 08:00:05+00:00,1192,CIC_NET,DEMO
0.2640201,1.2723535,0.7324921,0.28872368,-1.6548874,-0.9600463,-0.12270893,0.093372375,-1.1302037,2.4116766,1.516394,0.6021183,0.07203686,-0.21220897,-0.9519185,0.07748052,0.25775254,-1.2417606,0.33417642,-0.15525904,-1.9078076,-0.860385,-0.41360554,1.8876877,0.5565531,-1.3354815,0.4860363,-1.547304,1.0826911,-0.47112465,BENIGN,0,2025-01-04 23:12:17+00:00,1118,AZURE,DEMO
-0.09363619,1.3257966,-1.2871636,-1.3971182,-0.5835993,1.0383788,-1.5193461,-2.8321557,-0.45115885,0.5517408,1.2002617,-0.46316135,-0.4114266,1.1539007,-1.8697417,-0.38852078,0.19042389,0.44921872,-0.5098067,0.034441013,-2.4883273,-0.6582484,0.4535087,-0.982294,0.05898422,0.4468725,-0.3425492,0.17046377,-0.96273255,-0.20661128,BENIGN,0,2025-01-19 22:34:39+00:00,1098,AZURE,DEMO
0.61021614,0.15697296,-0.5865313,0.2242164,0.7146098,-2.0499413,1.1590741,-0.33625475,0.42548993,1.1972469,-1.3716737,-0.709441,-0.2885487,-0.7837535,1.7349366,-0.85677207,-0.55554676,0.20438904,-1.2021495,-0.39568073,0.31745327,-0.3328604,-0.09338686,-0.5293321,-1.5144703,0.32159323,1.7549331,0.01840163,0.22526412,0.69272274,BENIGN,0,2025-01-18 01:36:47+00:00,1078,GCP,DEMO
-1.2693305,1.7025146,0.2023288,1.6318569,-0.733033,1.818062,0.7751555,0.5530401,0.23402445,-0.24852861,1.2005316,0.14035986,-1.9670697,-1.1171864,-0.18584575,0.309999,-0.05658849,1.2189708,-1.9511019,0.14358793,-1.8179792,0.7597123,-0.094458714,0.41960996,-0.86388296,1.279465,1.0417247,0.5835443,-0.12951724,0.5798573,BENIGN,0,2025-01-12 00:40:59+00:00,1159,AZURE,DEMO
1.0931075,2.6555557,3.449481,2.8706105,1.0703975,2.1614172,0.50685847,2.3723903,2.2506034,-0.069816336,-0.84822,0.54585487,-0.41108954,-2.253372,-0.8237414,1.0514736,0.6057309,0.0442085,1.8487071,2.4554071,-0.4835615,-0.61216694,0.49120766,-0.35802937,-0.1393972,0.73965317,-1.9093561,1.3183023,0.072680525,-0.41149315,LATERAL_MOVEMENT,1,2025-01-24 13:29:47+00:00,1108,CIC_NET,DEMO
-0.08923415,-0.037570644,-1.7312013,1.4949383,0.041325632,0.44300213,0.95154977,-1.0211625,0.4734719,-0.2676411,0.84677076,-2.1272273,-0.0990943,-0.60282063,0.43226296,0.4700442,-0.70762587,-0.7121739,-0.110665366,-0.8966422,0.8419837,-0.3692072,-2.9069881,-0.37482205,-1.0385438,-1.6312758,-1.2374266,0.109408475,1.3286408,0.31318447,BENIGN,0,2025-01-22 01:12:13+00:00,1069,CIC_NET,DEMO
-0.60650337,0.4559042,-0.45909032,-0.69460034,-1.1543627,-1.7518288,-0.3899237,0.15805349,-0.09662367,-0.41596693,-0.94574606,0.6082462,-1.3171319,0.7760279,-1.002217,-0.75243527,-1.4667852,-0.50140214,0.9753125,0.5156281,0.9784221,0.5221425,-1.1036699,-0.33078924,-0.7801991,1.3305749,-1.1967887,0.8936977,0.8929539,1.8296202,BENIGN,0,2025-01-28 17:38:56+00:00,1086,AZURE,DEMO
0.19031341,1.3123221,2.8816519,-0.017641677,-0.93504024,-1.28001,1.3127121,-1.2831502,0.22768095,1.0373132,-1.1323025,-1.8949312,0.7716225,0.30740646,0.14076622,0.12300486,0.027340556,1.6301918,1.7003986,1.2512254,1.1834936,-1.1780409,1.6672242,1.5232387,0.735622,1.781799,-1.6566232,-0.52444816,-0.73530346,0.7214793,CREDENTIAL_MISUSE,1,2025-01-04 01:17:59+00:00,1153,CIC_NET,DEMO
-1.0501407,0.75749516,1.3705361,0.6952029,0.283751,-0.9878733,-0.846851,1.2496189,0.779349,-0.039019518,-0.41790953,-2.0258079,-1.0708524,1.911419,-1.2804556,0.18947983,1.007444,-1.2549226,0.18471047,0.93791556,0.012499322,2.868403,-1.6685992,1.0587286,-0.17280173,0.77192014,0.44130716,-0.7331562,0.2289964,-1.8579015,BENIGN,0,2025-01-11 17:16:58+00:00,1004,CIC_NET,DEMO
